#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  113.2800	    40.4900	     1.5507	  3451.1193	    73.8774	  3524.9967	   870.1900	   819.8300	   727.0600	   383.0500	     3.9560	     4.9200	   707.2700	 regenerative cooling, opposite flow	 
  116.4300	    38.8600	     1.6558	  3659.7546	    73.5298	  3733.2844	   885.3500	   832.0000	   733.7500	   381.1000	     3.9570	     5.1000	   709.5100	 regenerative cooling, opposite flow	 
  119.5800	    37.0800	     1.7841	  3911.3408	    72.8038	  3984.1446	   902.9700	   846.0600	   741.2100	   379.0600	     3.9580	     5.3200	   711.8500	 regenerative cooling, opposite flow	 
  122.7400	    35.2600	     1.9317	  4196.7580	    72.1634	  4268.9213	   922.4100	   861.4300	   749.0900	   376.9600	     3.9580	     5.5700	   714.2700	 regenerative cooling, opposite flow	 
  125.8900	    33.4400	     2.0992	  4515.4056	    71.4429	  4586.8486	   943.4800	   877.9400	   757.2400	   374.7900	     3.9590	     5.8500	   716.7600	 regenerative cooling, opposite flow	 
  129.0400	    31.6200	     2.2901	  4871.8247	    70.7120	  4942.5367	   966.5700	   895.9700	   765.9000	   372.5500	     3.9600	     6.1600	   719.2800	 regenerative cooling, opposite flow	 
  132.2000	    29.8000	     2.5082	  5268.6082	    70.2264	  5338.8346	   992.4700	   916.2000	   775.7100	   370.2600	     3.9610	     6.5000	   721.6700	 regenerative cooling, opposite flow	 
  135.3500	    27.9800	     2.7603	  5717.2466	    68.7896	  5786.0363	  1020.5800	   937.9300	   785.6700	   367.9000	     3.9630	     6.8900	   724.1300	 regenerative cooling, opposite flow	 
  138.5000	    26.1600	     3.0537	  6225.7073	    66.7910	  6292.4983	  1051.1600	   961.2600	   795.6700	   365.4700	     3.9640	     7.3300	   726.6600	 regenerative cooling, opposite flow	 
  141.6600	    24.3900	     3.3853	  6783.3460	    63.7569	  6847.1028	  1083.2200	   985.4200	   805.2300	   363.0200	     3.9660	     7.8100	   729.2100	 regenerative cooling, opposite flow	 
  144.8100	    23.0200	     3.6823	  7265.0296	    60.8581	  7325.8877	  1110.1700	  1005.5200	   812.7300	   360.6100	     3.9680	     8.2400	   731.7200	 regenerative cooling, opposite flow	 
  147.9600	    22.0200	     3.9178	  7632.2626	    56.9760	  7689.2386	  1130.1900	  1020.3500	   818.0000	   358.2600	     3.9690	     8.5700	   734.1700	 regenerative cooling, opposite flow	 
  151.1200	    21.3800	     4.0766	  7866.5833	    53.1602	  7919.7435	  1142.7000	  1029.5600	   821.1500	   355.9400	     3.9710	     8.7900	   736.5800	 regenerative cooling, opposite flow	 
  154.2700	    21.0600	     4.1473	  7955.0286	    49.4201	  8004.4487	  1147.2200	  1032.8700	   822.2300	   353.6500	     3.9740	     8.8800	   738.9800	 regenerative cooling, opposite flow	 
  155.8400	    21.0200	     4.1472	  7940.9595	    47.6896	  7988.6491	  1146.6900	  1032.5800	   822.3500	   352.5000	     3.9750	     8.8900	   740.0900	 regenerative cooling, opposite flow	 
  162.1500	    23.0500	     3.5296	  6853.4576	    32.0470	  6885.5045	  1085.4400	   987.0800	   805.8800	   347.8800	     3.9780	     8.0800	   744.5000	 regenerative cooling, opposite flow	 
  168.4500	    25.7100	     2.9402	  5818.2180	    25.5400	  5843.7581	  1028.4100	   944.9300	   791.1500	   343.1400	     3.9820	     7.2300	   749.0200	 regenerative cooling, opposite flow	 
  174.7600	    28.2200	     2.5128	  5047.4947	    22.0151	  5069.5098	   984.8800	   912.4600	   779.0500	   338.5900	     3.9850	     6.5600	   753.3600	 regenerative cooling, opposite flow	 
  181.0700	    30.5900	     2.1911	  4454.3427	    19.3441	  4473.6868	   950.2600	   886.3600	   768.6300	   334.2100	     3.9870	     6.0400	   757.5400	 regenerative cooling, opposite flow	 
  187.3700	    32.8200	     1.9400	  3978.7156	    17.5084	  3996.2240	   923.9400	   866.8500	   761.6900	   329.9700	     3.9890	     5.6100	   761.3800	 regenerative cooling, opposite flow	 
  193.6800	    34.9200	     1.7409	  3595.0113	    15.7849	  3610.7961	   902.8200	   851.2400	   756.2200	   325.8600	     3.9910	     5.2500	   765.0200	 regenerative cooling, opposite flow	 
  199.9900	    36.8900	     1.5807	  3282.8405	    14.4169	  3297.2574	   885.0900	   837.9900	   751.2200	   321.8700	     3.9930	     4.9500	   768.5500	 regenerative cooling, opposite flow	 
  206.2900	    38.7400	     1.4498	  3025.3867	    13.3847	  3038.7714	   870.0100	   826.6000	   746.6400	   317.9700	     3.9950	     4.7000	   772.0000	 regenerative cooling, opposite flow	 
  212.6000	    40.4700	     1.3415	  2810.7826	    12.3997	  2823.1823	   857.0500	   816.7200	   742.4300	   314.1500	     3.9960	     4.4800	   775.3800	 regenerative cooling, opposite flow	 
  218.9000	    42.0900	     1.2494	  2624.2272	    11.5588	  2635.7860	   847.9200	   810.2600	   740.9000	   310.4100	     3.9970	     4.3000	   778.5600	 regenerative cooling, opposite flow	 
  225.2100	    43.5900	     1.1713	  2464.2556	    10.7656	  2475.0212	   840.8500	   805.5000	   740.3700	   306.7400	     3.9990	     4.1400	   781.6300	 regenerative cooling, opposite flow	 
  231.7500	    45.0400	     1.1029	  2323.5378	    10.1334	  2333.6712	   834.5400	   801.2000	   739.7900	   303.0000	     4.0000	     3.9900	   784.7700	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
