#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  107.0200	    39.8100	     0.9149	  2015.0523	   279.1127	  2294.1650	   593.9700	   574.8200	   562.5900	   334.2900	     3.9620	     5.0200	   757.4800	 regenerative cooling, opposite flow	 
  110.1000	    38.2600	     0.9794	  2153.4364	   278.7125	  2432.1489	   597.6500	   577.3300	   564.3600	   333.3700	     3.9630	     5.2100	   758.3500	 regenerative cooling, opposite flow	 
  113.1900	    36.5700	     1.0585	  2322.4399	   275.8834	  2598.3232	   602.0200	   580.3600	   566.5000	   332.4200	     3.9630	     5.4400	   759.2200	 regenerative cooling, opposite flow	 
  116.2800	    34.7800	     1.1516	  2520.4703	   276.2645	  2796.7348	   607.4200	   584.0700	   569.1600	   331.4300	     3.9640	     5.7000	   760.1000	 regenerative cooling, opposite flow	 
  119.3700	    33.0000	     1.2583	  2746.4217	   274.6654	  3021.0871	   613.0900	   587.9100	   571.7900	   330.4100	     3.9650	     5.9900	   761.0000	 regenerative cooling, opposite flow	 
  122.4500	    31.2200	     1.3807	  3004.7986	   271.9059	  3276.7045	   619.2300	   591.9000	   574.4300	   329.3500	     3.9650	     6.3000	   761.9300	 regenerative cooling, opposite flow	 
  125.5400	    29.4400	     1.5221	  3301.8510	   267.9247	  3569.7757	   625.8600	   596.0800	   577.0400	   328.2700	     3.9660	     6.6600	   762.8900	 regenerative cooling, opposite flow	 
  128.6300	    27.6500	     1.6868	  3645.8663	   262.2092	  3908.0755	   633.0200	   600.4600	   579.6100	   327.1500	     3.9670	     7.0600	   763.8800	 regenerative cooling, opposite flow	 
  131.7200	    25.8700	     1.8788	  4044.5886	   257.3357	  4301.9243	   640.9100	   605.0700	   582.1200	   325.9900	     3.9690	     7.5100	   764.9100	 regenerative cooling, opposite flow	 
  134.8000	    24.0900	     2.1051	  4511.4036	   246.3247	  4757.7283	   649.2000	   609.5500	   584.1800	   324.7900	     3.9700	     8.0200	   765.9700	 regenerative cooling, opposite flow	 
  137.8900	    22.5100	     2.3388	  4989.9615	   229.1852	  5219.1467	   656.7000	   613.2000	   585.3600	   323.5900	     3.9720	     8.5300	   767.0300	 regenerative cooling, opposite flow	 
  140.9800	    21.3500	     2.5304	  5379.1647	   210.3360	  5589.5007	   661.8700	   615.2900	   585.4800	   322.4200	     3.9730	     8.9500	   768.0700	 regenerative cooling, opposite flow	 
  144.0600	    20.5500	     2.6660	  5652.3132	   188.8176	  5841.1308	   664.3300	   615.6500	   584.4900	   321.2700	     3.9750	     9.2600	   769.0900	 regenerative cooling, opposite flow	 
  147.1500	    20.1000	     2.7341	  5787.3528	   167.4299	  5954.7828	   663.8500	   614.2300	   582.4700	   320.1400	     3.9770	     9.4400	   770.0900	 regenerative cooling, opposite flow	 
  149.9700	    19.9700	     2.7312	  5778.2866	   152.5073	  5930.7939	   660.8800	   611.4400	   579.8100	   319.1200	     3.9790	     9.4900	   770.9900	 regenerative cooling, opposite flow	 
  156.1400	    21.9800	     2.2142	  4716.4572	    69.5419	  4785.9992	   625.8400	   585.9500	   560.4300	   316.9500	     3.9820	     8.6200	   772.9100	 regenerative cooling, opposite flow	 
  162.3200	    24.5700	     1.7804	  3816.9957	    44.3603	  3861.3560	   599.9100	   567.7300	   547.1300	   314.8800	     3.9850	     7.7200	   774.7500	 regenerative cooling, opposite flow	 
  168.4900	    27.0300	     1.4817	  3192.1318	    33.3673	  3225.4991	   580.9100	   554.0100	   536.8100	   312.9900	     3.9880	     7.0200	   776.4200	 regenerative cooling, opposite flow	 
  174.6700	    29.3400	     1.2626	  2729.9924	    27.1243	  2757.1167	   566.5700	   543.5700	   528.8600	   311.2500	     3.9900	     6.4600	   777.8700	 regenerative cooling, opposite flow	 
  180.8400	    31.5200	     1.1004	  2385.9742	    22.9186	  2408.8928	   555.3200	   535.2200	   522.3700	   309.6300	     3.9920	     6.0100	   779.2300	 regenerative cooling, opposite flow	 
  187.0100	    33.5700	     0.9738	  2116.4926	    19.8156	  2136.3082	   545.6300	   527.7900	   516.4000	   308.1100	     3.9930	     5.6400	   780.5000	 regenerative cooling, opposite flow	 
  193.1900	    35.5100	     0.8738	  1903.2954	    17.3119	  1920.6073	   537.3700	   521.3300	   511.0800	   306.6700	     3.9940	     5.3300	   781.7000	 regenerative cooling, opposite flow	 
  199.3600	    37.3200	     0.7934	  1731.2075	    15.5030	  1746.7105	   530.2400	   515.6400	   506.3200	   305.2900	     3.9960	     5.0700	   782.8500	 regenerative cooling, opposite flow	 
  205.5400	    39.0200	     0.7277	  1590.5031	    13.8798	  1604.3829	   524.0100	   510.5900	   502.0300	   303.9800	     3.9970	     4.8400	   783.9500	 regenerative cooling, opposite flow	 
  211.7100	    40.6100	     0.6734	  1473.9165	    12.6338	  1486.5503	   518.5300	   506.0900	   498.1600	   302.7100	     3.9980	     4.6500	   785.0100	 regenerative cooling, opposite flow	 
  217.8900	    42.1000	     0.6280	  1376.3398	    11.6325	  1387.9723	   513.7000	   502.0700	   494.6700	   301.4900	     3.9990	     4.4800	   786.0300	 regenerative cooling, opposite flow	 
  225.6400	    43.8300	     0.5810	  1274.9410	    10.6591	  1285.6001	   508.3800	   497.6000	   490.7500	   300.0000	     4.0000	     4.3000	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
